FK_1\random10_100_2_1000_1_10,29753,120.984394,true
FK_1\random10_60_1_1000_1_12,23064,120.8154108,true
FK_1\random12_48_3_1000_1_16,11787,120.6522127,true
FK_1\random15_45_1_1000_1_13,15160,118.3429275,true
FK_1\random15_75_3_1000_1_16,18285,120.3584122,true
FK_1\random30_60_4_1000_1_14,11017,37.741568,false
FK_2\random20_120_1_1000_1_12,47638,120.8045346,true
FK_2\random20_200_2_1000_1_14,53540,120.8658013,true
FK_2\random24_96_3_1000_1_18,23818,120.8251299,true
FK_2\random30_150_2_1000_1_17,44041,120.5441362,true
FK_2\random30_90_4_1000_1_20,25913,120.293694,true
FK_2\random60_120_4_1000_1_19,20463,118.005095,true
FK_3\notSolved\random30_180_2_1000_1_2,47674,120.9508597,true
FK_3\notSolved\random36_144_2_1000_1_20,42334,120.9715561,true
FK_3\notSolved\random45_135_3_1000_1_12,37419,120.5309268,true
FK_3\notSolved\random45_135_4_1000_1_14,33498,120.3669586,true
FK_3\notSolved\random45_225_2_1000_1_20,67490,120.9517751,true
FK_3\Solved\random30_180_1_1000_1_20,75278,118.6883895,true
FK_3\Solved\random30_300_2_1000_1_4,85044,120.906366,true
FK_3\Solved\random36_144_3_1000_1_17,39004,120.545251,true
FK_3\Solved\random45_135_4_1000_1_16,36714,121.0895388,true
FK_3\Solved\random45_225_3_1000_1_15,56001,120.7312929,true
FK_3\Solved\random90_180_4_1000_1_19,30047,118.1873174,true
FK_4\notSolved\random50_300_2_1000_1_5,80228,118.8117656,true
FK_4\notSolved\random60_240_1_1000_1_17,94803,121.1097688,true
FK_4\notSolved\random60_240_2_1000_1_15,65561,120.5998018,true
FK_4\notSolved\random60_240_3_1000_1_18,59520,119.4378618,true
FK_4\notSolved\random75_225_4_1000_1_20,58231,120.6885921,true
FK_4\Solved\random150_300_2_1000_1_12,55216,121.0724099,true
FK_4\Solved\random50_300_1_1000_1_16,119405,118.8021033,true
FK_4\Solved\random50_500_2_1000_1_14,135473,121.6263137,true
FK_4\Solved\random60_240_3_1000_1_14,60855,120.8159249,true
FK_4\Solved\random75_225_4_1000_1_17,60394,121.6369094,true
FK_4\Solved\random75_375_2_1000_1_5,101242,118.3663668,true
SMALL\probT1_0U_R50_T002_M010_N0040_seed05,15478,120.6112415,true
SMALL\probT1_0U_R50_T002_M020_N0060_seed01,26593,120.6130573,true
SMALL\probT1_1W_R50_T002_M010_N0040_seed09,12724,50.9192657,false
SMALL\probT1_1W_R50_T002_M010_N0060_seed10,19650,121.0231199,true
SMALL\probT1_1W_R50_T002_M020_N0020_seed10,3429,4.1457086,false
SMALL\probT1_1W_R50_T002_M020_N0040_seed10,12405,43.4006184,false
